cluster,label,node,x,y
1,1,0,0.260994258145,0.365732505579
1,2,1,0.352812910506,0.517198631213
1,3,2,0.106319583225,0.384094363588
2,4,3,0.522702314146,0.0215346158432
2,5,4,0.749807437048,0.14843213459
2,6,5,0.698575583133,0.0570032759103
1,7,6,0.169559261806,0.314087647725
1,8,7,0.414309766399,0.58424508219
1,9,8,0.137081827682,0.701757967461
2,10,9,0.584838705782,0.115946620381
3,11,10,0.290865485251,0.0
1,12,11,0.0,0.242802484965
1,13,12,0.234984021209,0.493645325453
1,14,13,0.584973668509,0.965451286175
1,15,14,0.202365969962,0.855350110681
2,16,15,0.935880885644,0.0408783973085
1,17,16,0.26669502045,0.14560683196
1,18,17,0.256944608491,0.936237700141
1,19,18,0.488042353895,0.441189688737
1,20,19,0.472775490542,1.0
1,21,20,0.129721001619,0.165880975828
1,22,21,0.362521996509,0.970555405098
1,23,22,0.777487134003,0.770822235296
1,24,23,0.985020126807,0.538635838833
1,25,24,1.0,0.654102040246
1,26,25,0.791635764647,0.953058575963
1,27,26,0.734741844692,0.633472182059
1,28,27,0.577699944333,0.606776418672
1,29,28,0.696000395634,0.877219608283
1,30,29,0.274700138625,0.646590175522
1,31,30,0.696320633123,0.551778015705
1,32,31,0.461851812611,0.798507736085
1,33,32,0.482497838683,0.749587412386
