label,node,x,y
0,0,0.515065778615,0.50246359698
1,1,0.379266528481,0.223057350843
2,2,0.0828805781234,0.42592104731
3,3,0.231244518295,0.524362514134
4,4,0.780082109926,0.703656279338
5,5,0.933209723761,0.802957126607
6,6,0.736752071794,0.911170315034
7,7,0.121186832996,0.236462855974
8,8,0.0276630227703,0.68428744467
10,9,0.966179238855,0.586788260415
11,10,0.97233697723,0.283162768206
12,11,0.249377910822,0.823497426971
13,12,0.254248750684,0.347974315206
17,13,0.615621289712,0.0380365849276
19,14,0.705838671695,0.208854689667
21,15,0.38887388598,0.0
31,16,0.452947844294,1.0
